HB,Month,TotalPatientsWaiting,TotalPatientsWaitingQF,NumberOfPatientsWaiting0To18Weeks,NumberOfPatientsWaiting0To18WeeksQF,NumberOfPatientsWaiting19To35Weeks,NumberOfPatientsWaiting19To35WeeksQF,NumberOfPatientsWaiting36To52Weeks,NumberOfPatientsWaiting36To52WeeksQF,NumberOfPatientsWaitingOver52Weeks,NumberOfPatientsWaitingOver52WeeksQF
S08000030,202201,253,,237,,16,,0,,0,
S08000031,202201,2731,,1621,,761,,339,,10,
S08000032,202201,1963,,597,,421,,448,,497,
S92000003,202201,10599,d,5790,d,1894,d,1399,d,1516,d
S08000015,202112,425,,417,,7,,0,,1,
S08000016,202112,333,,147,,104,,62,,20,
S08000017,202112,138,,129,,8,,0,,1,
S08000019,202112,616,,107,,133,,131,,245,
S08000020,202112,591,,582,,8,,1,,0,
S08000022,202112,714,,221,,127,,117,,249,
S08000024,202112,2280,b,1264,b,304,b,165,b,547,b
S08000025,202112,,:,,:,,:,,:,,:
S08000026,202112,23,,23,,0,,0,,0,
S08000028,202112,3,,3,,0,,0,,0,
S08000029,202112,482,,317,,99,,32,,34,
S08000030,202112,266,,247,,15,,1,,3,
S08000031,202112,2691,,1582,,796,,298,,15,
S08000032,202112,1887,,601,,471,,360,,455,
S92000003,202112,10449,d,5640,d,2072,d,1167,d,1570,d
S08000015,202111,326,,320,,5,,0,,1,
S08000016,202111,289,,121,,107,,54,,7,
S08000017,202111,158,,121,,36,,1,,0,
S08000019,202111,605,,97,,177,,129,,202,
S08000020,202111,492,,487,,5,,0,,0,
S08000022,202111,685,,217,,127,,121,,220,
S08000024,202111,4174,,1403,,804,,602,,1365,
S08000025,202111,,:,,:,,:,,:,,:
S08000026,202111,25,,25,,0,,0,,0,
S08000028,202111,9,,9,,0,,0,,0,
S08000029,202111,440,,286,,83,,44,,27,
S08000030,202111,269,,248,,15,,5,,1,
S08000031,202111,2767,,1551,,841,,359,,16,
S08000032,202111,1861,,637,,479,,340,,405,
S92000003,202111,12100,d,5522,d,2679,d,1655,d,2244,d
S08000015,202110,303,,293,,8,,0,,2,
S08000016,202110,291,,139,,99,,40,,13,
S08000017,202110,215,,164,,49,,2,,0,
S08000019,202110,588,,83,,192,,126,,187,
S08000020,202110,524,,513,,11,,0,,0,
S08000022,202110,720,,224,,156,,140,,200,
S08000024,202110,4088,,1320,,840,,601,,1327,
S08000025,202110,,:,,:,,:,,:,,:
S08000026,202110,25,,25,,0,,0,,0,
S08000028,202110,10,,10,,0,,0,,0,
S08000029,202110,403,,237,,96,,42,,28,
S08000030,202110,254,,237,,11,,5,,1,
S08000031,202110,2806,,1324,,1026,,446,,10,
S08000032,202110,1809,,610,,540,,312,,347,
S92000003,202110,12036,d,5179,d,3028,d,1714,d,2115,d
S08000015,202109,267,,264,,1,,0,,2,
S08000016,202109,249,,131,,83,,27,,8,
S08000017,202109,227,,193,,33,,1,,0,
S08000019,202109,617,u,92,u,205,u,141,u,179,u
S08000020,202109,475,,459,,16,,0,,0,
S08000022,202109,702,,211,,160,,150,,181,
S08000024,202109,4026,,1401,,796,,549,,1280,
S08000025,202109,,:,,:,,:,,:,,:
S08000026,202109,23,,23,,0,,0,,0,
S08000028,202109,6,,6,,0,,0,,0,
S08000029,202109,399,,253,,71,,54,,21,
S08000030,202109,246,,226,,11,,5,,4,
S08000031,202109,2883,,1337,,991,,554,,1,
S08000032,202109,1665,,575,,489,,299,,302,
S92000003,202109,11785,d,5171,d,2856,d,1780,d,1978,d
S08000015,202108,284,,282,,0,,0,,2,
S08000016,202108,234,,145,,58,,21,,10,
S08000017,202108,218,,191,,24,,3,,0,
S08000019,202108,616,u,166,u,149,u,163,u,138,u
S08000020,202108,453,,444,,9,,0,,0,
S08000022,202108,660,,208,,138,,164,,150,
S08000024,202108,3815,,1344,,721,,564,,1186,
S08000025,202108,,:,,:,,:,,:,,:
S08000026,202108,18,,18,,0,,0,,0,
S08000028,202108,5,,5,,0,,0,,0,
S08000029,202108,382,,249,,61,,60,,12,
S08000030,202108,245,,223,,15,,6,,1,
S08000031,202108,2794,,1365,,885,,544,,0,
S08000032,202108,1574,,620,,393,,311,,250,
S92000003,202108,11298,d,5260,d,2453,d,1836,d,1749,d
S08000015,202107,317,,314,,1,,1,,1,
S08000016,202107,236,,147,,60,,22,,7,
S08000017,202107,238,,199,,39,,0,,0,
S08000019,202107,638,u,224,u,149,u,128,u,137,u
S08000020,202107,537,,528,,7,,2,,0,
S08000022,202107,696,,213,,157,,139,,187,
S08000024,202107,3747,,1508,,647,,493,,1099,
S08000025,202107,,:,,:,,:,,:,,:
S08000026,202107,16,,16,,0,,0,,0,
S08000028,202107,1,,1,,0,,0,,0,
S08000029,202107,355,,221,,74,,55,,5,
S08000030,202107,266,,227,,36,,3,,0,
S08000031,202107,2756,,1390,,911,,451,,4,
S08000032,202107,1501,,619,,381,,302,,199,
S92000003,202107,11304,d,5607,d,2462,d,1596,d,1639,d
S08000015,202106,343,,340,,2,,0,,1,
S08000016,202106,239,,150,,57,,24,,8,
S08000017,202106,251,,233,,18,,0,,0,
S08000019,202106,695,u,272,u,162,u,129,u,132,u
S08000020,202106,603,,595,,7,,1,,0,
S08000022,202106,759,,239,,172,,114,,234,
S08000024,202106,3812,,1651,,635,,424,,1102,
S08000025,202106,,:,,:,,:,,:,,:
S08000026,202106,14,,14,,0,,0,,0,
S08000028,202106,5,,5,,0,,0,,0,
S08000029,202106,352,,221,,80,,43,,8,
S08000030,202106,286,,252,,31,,1,,2,
S08000031,202106,2838,,1593,,934,,296,,15,
S08000032,202106,1517,,727,,371,,235,,184,
S92000003,202106,11714,d,6292,d,2469,d,1267,d,1686,d
S08000015,202105,302,,297,,4,,0,,1,
S08000016,202105,226,,126,,58,,31,,11,
S08000017,202105,237,,222,,15,,0,,0,
S08000019,202105,1034,u,383,u,294,u,137,u,220,u
S08000020,202105,627,,611,,16,,0,,0,
S08000022,202105,744,,242,,183,,82,,237,
S08000024,202105,3584,,1484,,619,,392,,1089,
S08000025,202105,,:,,:,,:,,:,,:
S08000026,202105,14,,14,,0,,0,,0,
S08000028,202105,11,,11,,0,,0,,0,
S08000029,202105,317,,177,,99,,38,,3,
S08000030,202105,290,,256,,30,,2,,2,
S08000031,202105,2723,,1485,,904,,318,,16,
S08000032,202105,1409,,669,,356,,205,,179,
S92000003,202105,11518,d,5977,d,2578,d,1205,d,1758,d
S08000015,202104,269,,261,,3,,1,,4,
S08000016,202104,209,,96,,70,,31,,12,
S08000017,202104,235,,206,,29,,0,,0,
S08000019,202104,963,u,351,u,293,u,102,u,217,u
S08000020,202104,565,,532,,32,,1,,0,
S08000022,202104,692,,206,,189,,58,,239,
S08000024,202104,3450,,1264,,678,,408,,1100,
S08000025,202104,,:,,:,,:,,:,,:
S08000026,202104,13,,13,,0,,0,,0,
S08000028,202104,10,,10,,0,,0,,0,
S08000029,202104,347,,189,,110,,23,,25,
S08000030,202104,249,,207,,40,,1,,1,
S08000031,202104,2602,,1314,,1009,,253,,26,
S08000032,202104,1293,,534,,392,,151,,216,
S92000003,202104,10897,d,5183,d,2845,d,1029,d,1840,d
S08000015,202103,267,,262,,2,,0,,3,
S08000016,202103,220,,105,,74,,28,,13,
S08000017,202103,218,,211,,7,,0,,0,
S08000019,202103,935,u,363,u,251,u,107,u,214,u
S08000020,202103,554,,530,,23,,1,,0,
S08000022,202103,724,,235,,173,,49,,267,
S08000024,202103,3439,,1278,,652,,380,,1129,
S08000025,202103,27,,18,,5,,1,,3,
S08000026,202103,19,,16,,3,,0,,0,
S08000028,202103,10,,10,,0,,0,,0,
S08000029,202103,353,,179,,97,,16,,61,
S08000030,202103,284,,252,,30,,1,,1,
S08000031,202103,2620,,1423,,901,,222,,74,
S08000032,202103,1336,,581,,372,,133,,250,
S92000003,202103,11006,d,5463,d,2590,d,938,d,2015,d
S08000015,202102,232,,225,,3,,0,,4,
S08000016,202102,225,,96,,69,,44,,16,
S08000017,202102,222,,221,,1,,0,,0,
S08000019,202102,958,u,355,u,231,u,168,u,204,u
S08000020,202102,509,,492,,17,,0,,0,
S08000022,202102,684,,238,,142,,59,,245,
S08000024,202102,3327,,1197,,607,,440,,1083,
S08000025,202102,27,,20,,4,,0,,3,
S08000026,202102,32,,14,,18,,0,,0,
S08000028,202102,5,,5,,0,,0,,0,
S08000029,202102,388,,193,,84,,23,,88,
S08000030,202102,288,,265,,22,,0,,1,
S08000031,202102,2553,,1435,,741,,300,,77,
S08000032,202102,1299,,540,,338,,169,,252,
S92000003,202102,10749,d,5296,d,2277,d,1203,d,1973,d
S08000015,202101,230,,219,,8,,0,,3,
S08000016,202101,236,,94,,71,,59,,12,
S08000017,202101,221,,220,,1,,0,,0,
S08000019,202101,967,u,370,u,181,u,225,u,191,u
S08000020,202101,501,,487,,14,,0,,0,
S08000022,202101,692,,281,,101,,80,,230,
S08000024,202101,3192,,1175,,544,,543,,930,
S08000025,202101,27,,20,,2,,2,,3,
S08000026,202101,33,,13,,20,,0,,0,
S08000028,202101,6,,6,,0,,0,,0,
S08000029,202101,398,,223,,68,,41,,66,
S08000030,202101,325,,306,,16,,1,,2,
S08000031,202101,2628,,1473,,740,,367,,48,
S08000032,202101,1256,,553,,304,,218,,181,
S92000003,202101,10712,d,5440,d,2070,d,1536,d,1666,d
S08000015,202012,249,,237,,4,,4,,4,
S08000016,202012,245,,108,,59,,71,,7,
S08000017,202012,240,,240,,0,,0,,0,
S08000019,202012,1031,u,409,u,141,u,295,u,186,u
S08000020,202012,578,,567,,10,,0,,1,
S08000022,202012,689,,303,,72,,100,,214,
S08000024,202012,3258,,1306,,484,,625,,843,
S08000025,202012,30,,22,,3,,3,,2,
S08000026,202012,38,,23,,15,,0,,0,
S08000028,202012,3,,3,,0,,0,,0,
S08000029,202012,421,,266,,44,,57,,54,
S08000030,202012,330,,316,,10,,2,,2,
S08000031,202012,2880,,1559,,583,,626,,112,
S08000032,202012,1204,,587,,219,,261,,137,
S92000003,202012,11196,d,5946,d,1644,d,2044,d,1562,d
S08000015,202011,243,,233,,2,,3,,5,
S08000016,202011,241,,109,,53,,78,,1,
S08000017,202011,247,,247,,0,,0,,0,
S08000019,202011,1035,u,379,u,150,u,373,u,133,u
S08000020,202011,518,,501,,13,,3,,1,
S08000022,202011,654,,276,,58,,113,,207,
S08000024,202011,3146,,1256,,449,,676,,765,
S08000025,202011,28,,20,,2,,6,,0,
S08000026,202011,39,,32,,7,,0,,0,
S08000028,202011,5,,5,,0,,0,,0,
S08000029,202011,380,,234,,32,,75,,39,
S08000030,202011,282,,273,,5,,3,,1,
S08000031,202011,2856,,1672,,492,,635,,57,
S08000032,202011,1110,,564,,156,,300,,90,
S92000003,202011,10784,d,5801,d,1419,d,2265,d,1299,d
S08000015,202010,228,,213,,6,,4,,5,
S08000016,202010,224,,102,,63,,59,,0,
S08000017,202010,179,,177,,2,,0,,0,
S08000019,202010,992,u,341,u,204,u,372,u,75,u
S08000020,202010,446,,435,,8,,3,,0,
S08000022,202010,595,,213,,63,,123,,196,
S08000024,202010,3037,,1138,,519,,701,,679,
S08000025,202010,22,,15,,2,,5,,0,
S08000026,202010,51,,49,,2,,0,,0,
S08000028,202010,5,,5,,0,,0,,0,
S08000029,202010,340,,188,,42,,80,,30,
S08000030,202010,238,,228,,3,,4,,3,
S08000031,202010,2831,,1477,,640,,636,,78,
S08000032,202010,985,,454,,198,,268,,65,
S92000003,202010,10173,d,5035,d,1752,d,2255,d,1131,d
S08000015,202009,176,,155,,13,,3,,5,
S08000016,202009,215,,101,,86,,28,,0,
S08000017,202009,156,,156,,0,,0,,0,
S08000019,202009,976,u,288,u,304,u,332,u,52,u
S08000020,202009,394,,379,,6,,7,,2,
S08000022,202009,575,,190,,86,,119,,180,
S08000024,202009,2769,,963,,623,,602,,581,
S08000025,202009,18,,11,,4,,3,,0,
S08000026,202009,40,,39,,1,,0,,0,
S08000028,202009,15,,15,,0,,0,,0,
S08000029,202009,316,,170,,71,,60,,15,
S08000030,202009,235,,215,,12,,6,,2,
S08000031,202009,2887,,1417,,931,,473,,66,
S08000032,202009,916,,406,,285,,169,,56,
S92000003,202009,9688,d,4505,d,2422,d,1802,d,959,d
S08000015,202008,140,,115,,18,,3,,4,
S08000016,202008,192,,84,,97,,11,,0,
S08000017,202008,100,,99,,1,,0,,0,
S08000019,202008,984,u,212,u,373,u,349,u,50,u
S08000020,202008,280,,257,,16,,7,,0,
S08000022,202008,561,,157,,121,,120,,163,
S08000024,202008,2624,,838,,708,,539,,539,
S08000025,202008,23,,13,,6,,4,,0,
S08000026,202008,39,,39,,0,,0,,0,
S08000028,202008,3,,3,,0,,0,,0,
S08000029,202008,316,,138,,98,,71,,9,
S08000030,202008,268,,212,,42,,14,,0,
S08000031,202008,2813,,1138,,1156,,458,,61,
S08000032,202008,831,,329,,337,,128,,37,
S92000003,202008,9174,d,3634,d,2973,d,1704,d,863,d
S08000015,202007,96,,65,,21,,5,,5,
S08000016,202007,166,,69,,96,,1,,0,
S08000017,202007,60,,60,,0,,0,,0,
S08000019,202007,992,u,204,u,472,u,284,u,32,u
S08000020,202007,277,,230,,43,,3,,1,
S08000022,202007,502,,117,,136,,106,,143,
S08000024,202007,2526,,754,,791,,482,,499,
S08000025,202007,23,,12,,8,,3,,0,
S08000026,202007,30,,26,,4,,0,,0,
S08000028,202007,3,,3,,0,,0,,0,
S08000029,202007,308,,113,,126,,61,,8,
S08000030,202007,268,,161,,95,,10,,2,
S08000031,202007,2960,,875,,1471,,515,,99,
S08000032,202007,780,,237,,407,,104,,32,
S92000003,202007,8991,d,2926,d,3670,d,1574,d,821,d
S08000015,202006,93,,65,,20,,3,,5,
S08000016,202006,161,,91,,69,,1,,0,
S08000017,202006,30,,29,,1,,0,,0,
S08000019,202006,1003,u,293,u,472,u,233,u,5,u
S08000020,202006,298,,246,,47,,2,,3,
S08000022,202006,506,,135,,141,,87,,143,
S08000024,202006,2482,,869,,750,,391,,472,
S08000025,202006,25,,14,,9,,2,,0,
S08000026,202006,14,,9,,5,,0,,0,
S08000028,202006,4,,4,,0,,0,,0,
S08000029,202006,330,,133,,114,,63,,20,
S08000030,202006,337,,195,,132,,10,,0,
S08000031,202006,3206,,1073,,1507,,507,,119,
S08000032,202006,856,,330,,408,,98,,20,
S92000003,202006,9345,d,3486,d,3675,d,1397,d,787,d
S08000015,202005,74,,56,,11,,2,,5,
S08000016,202005,163,,109,,54,,0,,0,
S08000017,202005,32,,30,,1,,0,,1,
S08000019,202005,993,u,387,u,420,u,184,u,2,u
S08000020,202005,223,,173,,39,,7,,4,
S08000022,202005,482,,157,,132,,81,,112,
S08000024,202005,2541,,979,,727,,387,,448,
S08000025,202005,25,,15,,8,,2,,0,
S08000026,202005,24,,10,,13,,1,,0,
S08000028,202005,3,,3,,0,,0,,0,
S08000029,202005,398,,196,,109,,58,,35,
S08000030,202005,404,,246,,141,,17,,0,
S08000031,202005,3423,,1373,,1399,,510,,141,
S08000032,202005,946,,479,,330,,125,,12,
S92000003,202005,9731,d,4213,d,3384,d,1374,d,760,d
S08000015,202004,112,,99,,8,,3,,2,
S08000016,202004,161,,119,,42,,0,,0,
S08000017,202004,74,,73,,1,,0,,0,
S08000019,202004,969,u,447,u,416,u,106,u,0,u
S08000020,202004,462,,273,,120,,46,,23,
S08000022,202004,528,,201,,148,,91,,88,
S08000024,202004,2511,,1042,,678,,364,,427,
S08000025,202004,23,,14,,9,,0,,0,
S08000026,202004,28,,14,,14,,0,,0,
S08000028,202004,2,,2,,0,,0,,0,
S08000029,202004,462,,227,,146,,47,,42,
S08000030,202004,431,,262,,160,,9,,0,
S08000031,202004,3724,,1593,,1609,,325,,197,
S08000032,202004,1089,,606,,373,,104,,6,
S92000003,202004,10576,d,4972,d,3724,d,1095,d,785,d
S08000015,202003,150,,137,,7,,3,,3,
S08000016,202003,158,,141,,17,,0,,0,
S08000017,202003,157,,150,,7,,0,,0,
S08000019,202003,931,u,544,u,325,u,62,u,0,u
S08000020,202003,719,,544,,107,,42,,26,
S08000022,202003,544,,243,,135,,95,,71,
S08000024,202003,2577,,1223,,592,,381,,381,
S08000025,202003,28,,20,,7,,1,,0,
S08000026,202003,38,,25,,13,,0,,0,
S08000028,202003,5,,5,,0,,0,,0,
S08000029,202003,524,,302,,150,,30,,42,
S08000030,202003,497,,355,,123,,18,,1,
S08000031,202003,3946,,2107,,1376,,293,,170,
S08000032,202003,1184,,826,,279,,77,,2,
S92000003,202003,11458,d,6622,d,3138,d,1002,d,696,d
S08000015,202002,142,,132,,4,,4,,2,
S08000016,202002,156,,146,,10,,0,,0,
S08000017,202002,156,,152,,4,,0,,0,
S08000019,202002,873,u,585,u,274,u,13,u,1,u
S08000020,202002,782,,630,,91,,36,,25,
S08000022,202002,529,,266,,111,,98,,54,
S08000024,202002,2608,,1290,,533,,401,,384,
S08000025,202002,31,,24,,5,,1,,1,
S08000026,202002,41,,35,,6,,0,,0,
S08000028,202002,11,,11,,0,,0,,0,
S08000029,202002,522,,302,,143,,40,,37,
S08000030,202002,478,,364,,91,,23,,0,
S08000031,202002,3956,,2266,,1208,,374,,108,
S08000032,202002,1167,,860,,252,,53,,2,
S92000003,202002,11452,d,7063,d,2732,d,1043,d,614,d
S08000015,202001,205,,189,,5,,8,,3,
S08000016,202001,138,,133,,5,,0,,0,
S08000017,202001,157,,157,,0,,0,,0,
S08000019,202001,841,u,582,u,249,u,10,u,0,u
S08000020,202001,793,b,657,b,85,b,32,b,19,b
S08000022,202001,482,,249,,106,,91,,36,
S08000024,202001,2578,,1278,,499,,398,,403,
S08000025,202001,30,,24,,4,,1,,1,
S08000026,202001,36,,30,,6,,0,,0,
S08000028,202001,12,,12,,0,,0,,0,
S08000029,202001,502,,307,,126,,37,,32,
S08000030,202001,358,,258,,91,,8,,1,
S08000031,202001,3840,,2203,,1174,,394,,69,
S08000032,202001,1064,,791,,238,,35,,0,
S92000003,202001,11036,d,6870,d,2588,d,1014,d,564,d
S08000015,201912,227,,213,,6,,6,,2,
S08000016,201912,133,,129,,4,,0,,0,
S08000017,201912,161,,160,,0,,1,,0,
S08000019,201912,796,u,563,u,227,u,5,u,1,u
S08000020,201912,724,,617,,72,,26,,9,
S08000022,201912,494,,271,,114,,75,,34,
S08000024,201912,2601,,1269,,492,,385,,455,
S08000025,201912,20,,14,,1,,5,,0,
S08000026,201912,30,,30,,0,,0,,0,
S08000028,201912,13,,13,,0,,0,,0,
S08000029,201912,510,,324,,100,,55,,31,
S08000030,201912,390,,280,,95,,12,,3,
S08000031,201912,3749,,2339,,1007,,350,,53,
S08000032,201912,972,,754,,186,,31,,1,
S92000003,201912,10820,d,6976,d,2304,d,951,d,589,d
S08000015,201911,223,,206,,10,,7,,0,
S08000016,201911,126,,120,,6,,0,,0,
S08000017,201911,157,,157,,0,,0,,0,
S08000019,201911,760,u,539,u,214,u,7,u,0,u
S08000020,201911,766,,673,,62,,29,,2,
S08000022,201911,469,,246,,119,,77,,27,
S08000024,201911,2538,,1178,,512,,397,,451,
S08000025,201911,26,,16,,3,,7,,0,
S08000026,201911,23,,23,,0,,0,,0,
S08000028,201911,16,,16,,0,,0,,0,
S08000029,201911,546,b,373,b,79,b,66,b,28,b
S08000030,201911,365,,257,,88,,16,,4,
S08000031,201911,3547,,2322,,888,,308,,29,
S08000032,201911,913,,699,,186,,28,,0,
S92000003,201911,10475,d,6825,d,2167,d,942,d,541,d
S08000015,201910,260,,231,,26,,3,,0,
S08000016,201910,134,,130,,4,,0,,0,
S08000017,201910,116,,116,,0,,0,,0,
S08000019,201910,680,u,489,u,188,u,3,u,0,u
S08000020,201910,655,,568,,59,,27,,1,
S08000022,201910,489,,245,,142,,75,,27,
S08000024,201910,2522,,1108,,540,,428,,446,
S08000025,201910,29,,19,,3,,6,,1,
S08000026,201910,16,,16,,0,,0,,0,
S08000028,201910,12,,12,,0,,0,,0,
S08000029,201910,696,,357,,155,,112,,72,
S08000030,201910,422,,249,,145,,26,,2,
S08000031,201910,3221,,2063,,898,,239,,21,
S08000032,201910,831,,607,,197,,26,,1,
S92000003,201910,10083,d,6210,d,2357,d,945,d,571,d
S08000015,201909,235,u,198,u,35,u,2,u,0,u
S08000016,201909,107,u,107,u,0,u,0,u,0,u
S08000017,201909,123,u,122,u,1,u,0,u,0,u
S08000019,201909,635,u,475,u,158,u,2,u,0,u
S08000020,201909,772,u,617,u,101,u,20,u,34,u
S08000022,201909,461,u,239,u,136,u,64,u,22,u
S08000024,201909,2500,u,1060,u,554,u,449,u,437,u
S08000025,201909,27,u,14,u,4,u,9,u,0,u
S08000026,201909,27,u,27,u,0,u,0,u,0,u
S08000028,201909,14,u,14,u,0,u,0,u,0,u
S08000029,201909,744,u,376,u,186,u,87,u,95,u
S08000030,201909,511,u,295,u,177,u,38,u,1,u
S08000031,201909,2980,u,2031,u,777,u,163,u,9,u
S08000032,201909,898,u,642,u,226,u,29,u,1,u
S92000003,201909,10034,d u,6217,d u,2355,d u,863,d u,599,d u
S08000015,201908,297,u,243,u,49,u,3,u,2,u
S08000016,201908,98,u,96,u,2,u,0,u,0,u
S08000017,201908,190,u,189,u,0,u,1,u,0,u
S08000019,201908,595,u,476,u,117,u,2,u,0,u
S08000020,201908,871,u,607,u,166,u,31,u,67,u
S08000022,201908,429,u,235,u,119,u,54,u,21,u
S08000024,201908,2558,u,1100,u,555,u,465,u,438,u
S08000025,201908,26,u,14,u,8,u,4,u,0,u
S08000026,201908,17,u,17,u,0,u,0,u,0,u
S08000028,201908,12,u,12,u,0,u,0,u,0,u
S08000029,201908,760,u,348,u,204,u,85,u,123,u
S08000030,201908,522,u,254,u,189,u,79,u,0,u
S08000031,201908,2703,u,1906,u,669,u,122,u,6,u
S08000032,201908,848,u,579,u,205,u,62,u,2,u
S92000003,201908,9926,d u,6076,d u,2283,d u,908,d u,659,d u
S08000015,201907,336,u,263,u,71,u,1,u,1,u
S08000016,201907,113,u,110,u,3,u,0,u,0,u
S08000017,201907,205,u,205,u,0,u,0,u,0,u
S08000019,201907,606,u,506,u,100,u,0,u,0,u
S08000020,201907,850,u,694,u,141,u,13,u,2,u
S08000022,201907,425,u,234,u,127,u,41,u,23,u
S08000024,201907,2589,u,1195,u,547,u,432,u,415,u
S08000025,201907,30,u,15,u,12,u,3,u,0,u
S08000026,201907,24,u,24,u,0,u,0,u,0,u
S08000028,201907,6,u,6,u,0,u,0,u,0,u
S08000029,201907,755,u,318,u,242,u,73,u,122,u
S08000030,201907,573,u,268,u,209,u,96,u,0,u
S08000031,201907,2654,u,1932,u,632,u,88,u,2,u
S08000032,201907,893,u,609,u,214,u,70,u,0,u
S92000003,201907,10059,d u,6379,d u,2298,d u,817,d u,565,d u
S08000015,201906,406,u,345,u,59,u,2,u,0,u
S08000016,201906,140,u,138,u,2,u,0,u,0,u
S08000017,201906,109,u,108,u,1,u,0,u,0,u
S08000019,201906,681,u,600,u,81,u,0,u,0,u
S08000020,201906,868,u,714,u,147,u,5,u,2,u
S08000022,201906,445,u,255,u,128,u,35,u,27,u
S08000024,201906,2510,u,1188,u,544,u,366,u,412,u
S08000025,201906,28,u,16,u,10,u,2,u,0,u
S08000026,201906,34,u,34,u,0,u,0,u,0,u
S08000028,201906,9,u,9,u,0,u,0,u,0,u
S08000029,201906,800,u,371,u,231,u,59,u,139,u
S08000030,201906,602,u,289,u,216,u,97,u,0,u
S08000031,201906,2758,u,2129,u,541,u,87,u,1,u
S08000032,201906,1055,u,754,u,228,u,73,u,0,u
S92000003,201906,10445,d u,6950,d u,2188,d u,726,d u,581,d u
S08000015,201905,401,u,369,u,28,u,3,u,1,u
S08000016,201905,143,u,140,u,3,u,0,u,0,u
S08000017,201905,107,u,107,u,0,u,0,u,0,u
S08000019,201905,645,u,606,u,39,u,0,u,0,u
S08000020,201905,842,u,712,u,116,u,11,u,3,u
S08000022,201905,440,u,275,u,109,u,25,u,31,u
S08000024,201905,2455,u,1173,u,534,u,375,u,373,u
S08000025,201905,39,u,23,u,16,u,0,u,0,u
S08000026,201905,34,u,34,u,0,u,0,u,0,u
S08000028,201905,18,u,18,u,0,u,0,u,0,u
S08000029,201905,793,u,415,u,183,u,72,u,123,u
S08000030,201905,598,u,283,u,214,u,101,u,0,u
S08000031,201905,2651,u,2157,u,432,u,62,u,0,u
S08000032,201905,1097,u,798,u,228,u,71,u,0,u
S92000003,201905,10263,d u,7110,d u,1902,d u,720,d u,531,d u
S08000015,201904,398,u,362,u,31,u,5,u,0,u
S08000016,201904,147,u,131,u,16,u,0,u,0,u
S08000017,201904,114,u,114,u,0,u,0,u,0,u
S08000019,201904,593,u,547,u,43,u,2,u,1,u
S08000020,201904,826,u,685,u,133,u,7,u,1,u
S08000022,201904,436,u,262,u,116,u,30,u,28,u
S08000024,201904,2423,u,1112,u,590,u,389,u,332,u
S08000025,201904,32,u,23,u,9,u,0,u,0,u
S08000026,201904,42,u,42,u,0,u,0,u,0,u
S08000028,201904,9,u,9,u,0,u,0,u,0,u
S08000029,201904,806,u,424,u,187,u,87,u,108,u
S08000030,201904,566,u b,258,u b,242,u b,66,u b,0,u b
S08000031,201904,2484,u,2048,u,411,u,25,u,0,u
S08000032,201904,1098,u,794,u,259,u,45,u,0,u
S92000003,201904,9974,d u,6811,d u,2037,d u,656,d u,470,d u
S08000015,201903,527,u,445,u,60,u,20,u,2,u
S08000016,201903,193,u,162,u,31,u,0,u,0,u
S08000017,201903,82,u,82,u,0,u,0,u,0,u
S08000019,201903,612,u,582,u,27,u,2,u,1,u
S08000020,201903,886,u,769,u,111,u,4,u,2,u
S08000021,201903,2309,u,1985,u,303,u,21,u,0,u
S08000022,201903,473,u,302,u,108,u,31,u,32,u
S08000023,201903,1164,u,876,u,242,u,46,u,0,u
S08000024,201903,2369,u,1167,u,526,u,394,u,282,u
S08000025,201903,25,u,20,u,5,u,0,u,0,u
S08000026,201903,41,u,41,u,0,u,0,u,0,u
S08000028,201903,16,u,16,u,0,u,0,u,0,u
S08000029,201903,897,u,527,u,169,u,98,u,103,u
S08000030,201903,1015,u,515,u,379,u,121,u,0,u
S92000003,201903,10609,d u,7489,d u,1961,d u,737,d u,422,d u
S08000015,201902,483,u,407,u,61,u,14,u,1,u
S08000016,201902,192,u,153,u,39,u,0,u,0,u
S08000017,201902,72,u,72,u,0,u,0,u,0,u
S08000019,201902,544,u,528,u,9,u,3,u,4,u
S08000020,201902,906,u,783,u,113,u,8,u,2,u
S08000021,201902,2061,u,1807,u,240,u,14,u,0,u
S08000022,201902,396,u,241,u,95,u,28,u,32,u
S08000023,201902,1054,u,807,u,206,u,41,u,0,u
S08000024,201902,2320,u,1180,u,486,u,412,u,242,u
S08000025,201902,31,u,25,u,6,u,0,u,0,u
S08000026,201902,34,u,34,u,0,u,0,u,0,u
S08000028,201902,13,u,13,u,0,u,0,u,0,u
